orthodox,variants,n_members,phon_class,distinct_gloss,radical_differs,restored,o_reading,var_readings,bits_upper,bits_irrecoverable,bits_validated
庵,菴,2,homophonic,False,True,False,ān,ān,1.0,1.0,0.0
暗,闇晻,3,homophonic,True,True,False,àn,àn àn,1.585,1.585,0.0
鞍,鞌,2,homophonic,False,False,False,ān,ān,1.0,1.0,0.0
岸,㟁,2,homophonic,False,False,False,àn,àn,1.0,1.0,0.0
坳,㘭,2,homophonic,False,False,False,ào,ào,1.0,1.0,0.0
拗,抝,2,tonal-variant,False,False,False,ào,ǎo,1.0,1.0,0.0
鰲,鼇,2,homophonic,False,True,False,áo,áo,1.0,1.0,0.0
翱,翺,2,homophonic,False,False,False,áo,áo,1.0,1.0,0.0
霸,覇,2,homophonic,False,True,False,bà,bà,1.0,1.0,0.0
柏,栢,2,homophonic,False,False,False,bǎi,bǎi,1.0,1.0,0.0
稗,粺,2,homophonic,True,True,False,bài,bài,1.0,1.0,0.0
坂,岅,2,homophonic,True,True,False,bǎn,bǎn,1.0,1.0,0.0
幫,幚幇,3,homophonic,False,False,False,bāng,bāng bāng,1.585,1.585,0.0
膀,髈,2,homophonic,False,True,False,bǎng,bǎng,1.0,1.0,0.0
榜,牓,2,homophonic,True,True,False,bǎng,bǎng,1.0,1.0,0.0
刨,鉋鑤,3,heterophonic,False,True,False,páo,bào bào,1.585,0.6667,1.0
褓,緥,2,homophonic,False,True,False,bǎo,bǎo,1.0,1.0,0.0
寶,寳,2,homophonic,False,False,False,bǎo,bǎo,1.0,1.0,0.0
褒,襃,2,homophonic,False,False,False,bāo,bāo,1.0,1.0,0.0
背,揹,2,tonal-variant,False,True,False,bèi,bēi,1.0,1.0,0.0
備,俻,2,homophonic,False,False,False,bèi,bèi,1.0,1.0,0.0
悖,誖,2,homophonic,True,True,False,bèi,bèi,1.0,1.0,0.0
杯,盃桮,3,homophonic,False,True,False,bēi,bēi bēi,1.585,1.585,0.0
奔,犇奔逩,4,tonal-variant,False,True,False,bēn,bēn  bèn,2.0,1.1887,1.0
綳,繃,2,tonal-variant,False,False,False,bēng,běng,1.0,1.0,0.0
痹,痺,2,homophonic,False,False,False,bì,bì,1.0,1.0,0.0
逼,偪,2,homophonic,False,True,False,bī,bī,1.0,1.0,0.0
斃,獘,2,homophonic,True,True,False,bì,bì,1.0,1.0,0.0
秘,祕,2,homophonic,False,True,False,mì,mì,1.0,1.0,0.0
