model,orient,group,orthodox,phon_class,stratum,bits_upper,orth_freq,S_trad,S_merged,S_merged_null,S_merged_cal,delta_S
ckiplab/bert-base-chinese,traditional,1,暗,homophonic,gloss-distinct,1.584962500721156,50,0.43993785977363586,0.057075392454862595,-0.01707431674003601,0.0741497129201889,0.38286247849464417
ckiplab/bert-base-chinese,traditional,5,拗,tonal-variant,reading-bearing,1.0,50,0.48885881900787354,0.08517298102378845,0.0024561984464526176,0.08271678537130356,0.4036858379840851
ckiplab/bert-base-chinese,traditional,10,稗,homophonic,gloss-distinct,1.0,50,0.5049470067024231,0.05316539853811264,-0.001963856164366007,0.05512925609946251,0.45178160071372986
ckiplab/bert-base-chinese,traditional,14,榜,homophonic,gloss-distinct,1.0,50,0.4643109440803528,0.01967887580394745,0.00020392690203152597,0.019474949687719345,0.44463205337524414
ckiplab/bert-base-chinese,traditional,21,悖,homophonic,gloss-distinct,1.0,50,0.43268734216690063,0.025671042501926422,0.0007609797175973654,0.024910062551498413,0.4070163071155548
ckiplab/bert-base-chinese,traditional,23,奔,tonal-variant,reading-bearing,2.0,50,0.4233538508415222,0.031580038368701935,-6.05172936047893e-05,0.03164055570960045,0.3917738199234009
ckiplab/bert-base-chinese,traditional,24,綳,tonal-variant,reading-bearing,1.0,19,0.41995224356651306,0.0004071526345796883,0.0010886873351410031,-0.0006815347005613148,0.41954508423805237
ckiplab/bert-base-chinese,traditional,27,斃,homophonic,gloss-distinct,1.0,50,0.5522535443305969,0.08863405138254166,0.0006793431239202619,0.08795470744371414,0.46361950039863586
ckiplab/bert-base-chinese,traditional,42,布,homophonic,gloss-distinct,1.0,50,0.38156256079673767,0.03168468922376633,-0.0004374592681415379,0.03212215006351471,0.34987786412239075
ckiplab/bert-base-chinese,traditional,45,采,homophonic,gloss-distinct,1.584962500721156,50,0.3556925058364868,0.12919481098651886,-0.02062031999230385,0.1498151272535324,0.22649769484996796
ckiplab/bert-base-chinese,traditional,53,策,homophonic,gloss-distinct,1.584962500721156,50,0.2164214700460434,-0.003498080652207136,-0.033722274005413055,0.030224192887544632,0.21991954743862152
ckiplab/bert-base-chinese,traditional,55,查,heterophonic,reading-bearing,1.0,50,0.3800583779811859,0.1986105740070343,0.00013327362830750644,0.19847729802131653,0.1814478039741516
ckiplab/bert-base-chinese,traditional,58,鏟,homophonic,gloss-distinct,1.0,50,0.397005170583725,0.16673274338245392,-0.0015692317392677069,0.16830196976661682,0.23027242720127106
ckiplab/bert-base-chinese,traditional,61,場,tonal-variant,reading-bearing,1.0,50,0.534163236618042,0.13405601680278778,-0.001979977358132601,0.1360359936952591,0.400107204914093
ckiplab/bert-base-chinese,traditional,63,嗔,homophonic,gloss-distinct,1.0,50,0.1973646581172943,0.03982016071677208,0.0012422434519976377,0.03857791796326637,0.15754449367523193
ckiplab/bert-base-chinese,traditional,70,翅,homophonic,gloss-distinct,1.0,50,0.5251845717430115,0.06971480697393417,-0.004232883919030428,0.07394769042730331,0.4554697573184967
