model,orient,group,orthodox,variant,phon_class,stratum,bits_upper,cos_orth_var,type_dist
ckiplab/bert-base-chinese,traditional,0,庵,菴,homophonic,redundant-control,1.0,0.22601181268692017,0.7739881873130798
ckiplab/bert-base-chinese,traditional,1,暗,闇,homophonic,gloss-distinct,1.584962500721156,0.2656667232513428,0.7343332767486572
ckiplab/bert-base-chinese,traditional,1,暗,晻,homophonic,gloss-distinct,1.584962500721156,0.22601765394210815,0.7739823460578918
ckiplab/bert-base-chinese,traditional,3,岸,㟁,homophonic,redundant-control,1.0,0.22601354122161865,0.7739864587783813
ckiplab/bert-base-chinese,traditional,5,拗,抝,tonal-variant,reading-bearing,1.0,0.22601212561130524,0.7739878743886948
ckiplab/bert-base-chinese,traditional,6,鰲,鼇,homophonic,redundant-control,1.0,0.22602082788944244,0.7739791721105576
ckiplab/bert-base-chinese,traditional,9,柏,栢,homophonic,redundant-control,1.0,0.2260114848613739,0.7739885151386261
ckiplab/bert-base-chinese,traditional,10,稗,粺,homophonic,gloss-distinct,1.0,0.2260172963142395,0.7739827036857605
ckiplab/bert-base-chinese,traditional,11,坂,岅,homophonic,gloss-distinct,1.0,0.22601810097694397,0.773981899023056
ckiplab/bert-base-chinese,traditional,12,幫,幚,homophonic,redundant-control,1.584962500721156,0.23140983283519745,0.7685901671648026
ckiplab/bert-base-chinese,traditional,12,幫,幇,homophonic,redundant-control,1.584962500721156,0.23140983283519745,0.7685901671648026
ckiplab/bert-base-chinese,traditional,14,榜,牓,homophonic,gloss-distinct,1.0,0.2260509878396988,0.7739490121603012
ckiplab/bert-base-chinese,traditional,15,刨,鉋,heterophonic,reading-bearing,1.584962500721156,0.6356647610664368,0.36433523893356323
ckiplab/bert-base-chinese,traditional,15,刨,鑤,heterophonic,reading-bearing,1.584962500721156,0.6356647610664368,0.36433523893356323
ckiplab/bert-base-chinese,traditional,18,褒,襃,homophonic,redundant-control,1.0,0.2260146588087082,0.7739853411912918
ckiplab/bert-base-chinese,traditional,19,背,揹,tonal-variant,reading-bearing,1.0,0.9999999403953552,5.960464477539063e-08
ckiplab/bert-base-chinese,traditional,21,悖,誖,homophonic,gloss-distinct,1.0,0.22601616382598877,0.7739838361740112
ckiplab/bert-base-chinese,traditional,23,奔,犇,tonal-variant,reading-bearing,2.0,0.22601881623268127,0.7739811837673187
ckiplab/bert-base-chinese,traditional,23,奔,奔,tonal-variant,reading-bearing,2.0,1.0,0.0
ckiplab/bert-base-chinese,traditional,23,奔,逩,tonal-variant,reading-bearing,2.0,0.22601881623268127,0.7739811837673187
ckiplab/bert-base-chinese,traditional,24,綳,繃,tonal-variant,reading-bearing,1.0,0.22601483762264252,0.7739851623773575
ckiplab/bert-base-chinese,traditional,27,斃,獘,homophonic,gloss-distinct,1.0,0.22601978480815887,0.7739802151918411
ckiplab/bert-base-chinese,traditional,30,秕,粃,homophonic,redundant-control,1.0,1.0000001192092896,-1.1920928955078125e-07
ckiplab/bert-base-chinese,traditional,33,鱉,鼈,homophonic,redundant-control,1.0,0.3455054759979248,0.6544945240020752
ckiplab/bert-base-chinese,traditional,36,并,併,homophonic,redundant-control,2.0,1.0,0.0
ckiplab/bert-base-chinese,traditional,36,并,並,homophonic,redundant-control,2.0,1.0000001192092896,-1.1920928955078125e-07
ckiplab/bert-base-chinese,traditional,36,并,竝,homophonic,redundant-control,2.0,0.22601298987865448,0.7739870101213455
ckiplab/bert-base-chinese,traditional,39,博,愽,homophonic,redundant-control,1.0,0.2260124236345291,0.7739875763654709
ckiplab/bert-base-chinese,traditional,42,布,佈,homophonic,gloss-distinct,1.0,0.9999999403953552,5.960464477539063e-08
ckiplab/bert-base-chinese,traditional,45,采,寀,homophonic,gloss-distinct,1.584962500721156,0.2260146141052246,0.7739853858947754
ckiplab/bert-base-chinese,traditional,45,采,採,homophonic,gloss-distinct,1.584962500721156,1.0,0.0
